analysis_type,cancer_type,research_area,study_type,data_source,cbioportal_usage_summary,specific_datasets,confidence,paper_id,title,year,classified_date
"['Copy number analysis', 'Gene expression analysis', 'Survival analysis', 'Pathway analysis']",['Lung cancer'],"['Biomarker discovery', 'Pathway analysis', 'Immunotherapy']","['Original research', 'Meta-analysis']","['TCGA', 'Multiple sources']","The study utilized cBioPortal to access and analyze TCGA-LUAD cohort data to identify prognostic biomarkers in lung adenocarcinoma. The platform was used to examine FAM83A amplification patterns and validate the prognostic significance of meta-differentially expressed genes. Additionally, cBioPortal facilitated the analysis of copy number alterations and their correlation with immune cell infiltration in LUAD samples from smokers and non-smokers.",['TCGA-LUAD'],high,41386847,Investigating the role of oncogenic FAM83A as a prognostic biomarker in lung adenocarcinoma: Insights from smoker and non-smoker cohorts.,2025,2025-12-19T01:36:05.270663
"['Mutation analysis', 'Copy number analysis', 'Gene expression analysis']",['Other solid tumor'],"['Biomarker discovery', 'Precision medicine']","['Original research', 'Clinical study']","['TCGA', 'MSK-IMPACT', 'Custom/Private data']","The study identified KRAS-mutant RCC patients from two major cohorts: the MSK-IMPACT and TCGA-KIRP datasets, which are commonly accessed through cBioPortal. The researchers used these datasets to characterize the clinical, pathologic, and molecular features of KRAS-mutated renal cell carcinoma, including mutation profiles and copy number alterations. cBioPortal likely served as the primary platform for querying and retrieving genomic data from these cohorts.","['MSK-IMPACT', 'TCGA-KIRP']",high,41375035,Clinical and Molecular Characterization of KRAS-Mutated Renal Cell Carcinoma.,2025,2025-12-19T01:36:57.309671
"['Mutation analysis', 'Gene expression analysis']",['Leukemia/Lymphoma'],"['Drug response/resistance', 'Biomarker discovery']",['Original research'],['Not specified'],"Based on the abstract and introduction provided, the specific usage of cBioPortal is not explicitly described. The paper focuses on investigating differentiation therapy using vitamin D analog (PRI5202) and Fludarabine in AML cells, particularly those with activating mutations in FGFR and JAK pathways. cBioPortal may have been used to identify or validate mutation patterns in these pathways, but the exact usage is not detailed in the provided text.",[],low,41369330,Synergy in Immunostimulatory and Pro-Differentiation Effects of Vitamin D Analog and Fludarabine in Acute Myeloid Leukemias.,2025,2025-12-19T01:37:03.053458
"['Gene expression analysis', 'Pathway analysis', 'Other']",['Pan-cancer'],"['Review/Commentary', 'Pathway analysis', 'Drug response/resistance']",['Review'],['Not specified'],"This is a review paper examining TOPK's role in tumorigenesis and cancer development. Based on the abstract and introduction provided, there is no explicit description of how cBioPortal was used in this study. The paper appears to cite cBioPortal as a reference source for cancer genomics data that may have been used to support discussions of TOPK expression patterns and its role across various cancers, but specific usage details are not provided in the available text.",[],low,41362722,"The Roles of TOPK in Tumorigenesis and Development: Structure, Mechanisms, Pathways, and Therapeutic Implications.",2026,2025-12-19T01:39:10.740118
"['Gene expression analysis', 'Mutation analysis', 'Pathway analysis']","['Pan-cancer', 'Leukemia/Lymphoma']","['Review/Commentary', 'Drug response/resistance', 'Biomarker discovery', 'Immunotherapy']",['Review'],['Not specified'],"This is a review paper discussing N6-methyladenosine (m6A) RNA modification in cancer. Based on the abstract and introduction provided, there is no explicit mention of cBioPortal usage in the text. The paper appears to cite cBioPortal as a reference resource but does not describe specific analyses performed using the platform.",[],low,41360987,N<sup>6</sup>-Methyladenosine: an RNA modification as a central regulator of cancer.,2025,2025-12-19T01:39:16.177445
"['Gene expression analysis', 'Survival analysis', 'Copy number analysis', 'Pathway analysis', 'Multi-omics integration', 'Mutation analysis']","['Pan-cancer', 'Other solid tumor']","['Biomarker discovery', 'Immunotherapy', 'Pathway analysis']",['Original research'],"['TCGA', 'Multiple sources']","cBioPortal was likely used as one of the publicly available databases to access multi-omics cancer data for the comprehensive pan-cancer analysis of EIF3M. The platform would have facilitated the analysis of gene expression patterns, copy number alterations (gene amplification), methylation data, and survival outcomes across multiple cancer types. Given the integrative multi-omics approach described, cBioPortal served as a key resource for obtaining and analyzing TCGA and other cancer genomics datasets.",['TCGA'],medium,41341921,EIF3M as a pan-cancer biomarker: prognostic significance and immune infiltration association.,2025,2025-12-19T01:39:23.179545
"['Gene expression analysis', 'Survival analysis', 'Pathway analysis']",['Glioma/Brain cancer'],"['Biomarker discovery', 'Pathway analysis', 'Immunotherapy']",['Original research'],"['TCGA', 'Multiple sources']","Based on the abstract and introduction provided, the paper does not explicitly mention cBioPortal usage. The study utilized transcriptomic data from GSE147352, GSE165595, TCGA, and CGGA databases to perform differential expression analysis and survival analysis. While TCGA data was used (which is available through cBioPortal), there is no direct mention of cBioPortal as the data access platform in the provided text.",['TCGA-GBM'],low,41301734,A Prognostic Neuromodulation-Related Gene Signature Identifies Immunomodulation and Tumour-Associated Hallmarks in Glioblastoma.,2025,2025-12-19T01:39:28.879498
"['Mutation analysis', 'Copy number analysis']",['Other solid tumor'],"['Biomarker discovery', 'Precision medicine']",['Original research'],['GENIE'],"cBioPortal was used to access and analyze the AACR Project GENIE v18.0-public database to identify 359 tumor samples from 346 patients with angiosarcoma. The platform was utilized to assess somatic mutations, copy number alterations, gene co-occurrence patterns, and mutual exclusivity relationships across the angiosarcoma cohort.",['AACR Project GENIE v18.0-public'],high,41301029,Genomic and Demographic Characteristics of Angiosarcoma as Described in the AACR Project GENIE Registry.,2025,2025-12-19T01:39:33.816176
"['Mutation analysis', 'Copy number analysis', 'Survival analysis', 'Pathway analysis']",['Breast cancer'],"['Biomarker discovery', 'Drug response/resistance', 'Pathway analysis', 'Precision medicine']",['Original research'],"['TCGA', 'Multiple sources']",cBioPortal was likely used to identify and analyze the frequency of EGFR amplification in breast cancer patients and to determine the co-occurrence of PI3K pathway mutations in EGFR-amplified tumors. The platform was used to perform survival analysis comparing overall survival between EGFR amplified and unamplified breast cancer patients. The study identified that EGFR amplification occurs in 1-5% of breast cancer patients and that up to 71% of EGFR amplified tumors harbor activating PI3K pathway mutations.,['TCGA'],medium,41291067,EGFR amplification and PI3K pathway mutations identify a subset of breast cancers that synergistically respond to EGFR and PI3K inhibition.,2026,2025-12-19T01:39:39.788870
"['Mutation analysis', 'Survival analysis']",['Other solid tumor'],"['Biomarker discovery', 'Precision medicine']","['Original research', 'Clinical study']","['MSK-IMPACT', 'Custom/Private data']","The study utilized genomic sequencing data from the MSK-IMPACT clinical sequencing platform to analyze mutations in thyroid cancer brain metastasis samples. Genomic analysis of matched primary and brain metastasis samples was performed to identify mutation patterns, revealing universal conservation of BRAF and NRAS mutations between primary tumors and brain metastases. The cBioPortal platform likely facilitated access to and analysis of the MSK-IMPACT genomic data for this cohort.",['MSK-IMPACT'],medium,41251920,Clinical and genomic characterization of brain metastasis in thyroid cancer.,2025,2025-12-19T01:39:45.587087
